Jori,Dupont,M,Tournai-Ath-Mouscron,,08/02/1985,PTB,Député
Véronique,Durenne,F,Tournai-Ath-Mouscron,,08/03/1969,MR,Député
Nadia,El Yousfi,F,Bruxelles,Casablanca (Maroc),01/02/1965,PS,Député
Yves,Evrard,M,Arlon-Marche-Bastogne-Neufchâteau-Virton,Bastogne,19/03/1969,MR,Député
Jean-Philippe,Florent,M,Arlon-Marche-Bastogne-Neufchâteau-Virton,,30/05/1977,ECOLO,Député
Eddy,Fontaine,M,Dinant-Philippeville,Namur,28/06/1964,PS,Député
André,Frédéric,M,Verviers,,04/07/1958,PS,Député
Paul,Furlan,M,Charleroi-Thuin,Binche,03/11/1962,PS,Député
Latifa,Gahouchi,F,Charleroi-Thuin,Oujda (Maroc),26/02/1961,PS,Député
Jacqueline,Galant,F,Mons,Mons,18/03/1974,MR,Député
Charles,Gardier,M,Verviers,Verviers,22/09/1965,MR,Député
Valérie,Glatigny,F,Auderghem,,13/11/1973,MR,"Ministre de l’Enseignement supérieur, de l’Enseignement de la Promotion sociale, des Hôpitaux universitaires, de l’Aide à la jeunesse, des Maisons de Justice, de la Jeunesse, des Sports et de la Promotion de Bruxelles"
Anne-Catherine,Goffinet,F,Arlon-Marche-Bastogne-Neufchâteau-Virton,Woluwe Saint Lambert,04/01/1978,cdH,Député
Alda,Greoli,F,Liège,,26/10/1962,cdH,Député
Elisa,Groppi,F,Bruxelles,,11/12/1984,PTB,Député
Gwenaëlle,Grovonius,F,Namur,,16/10/1978,PS,Député
Maxime,Hardy,M,Charleroi-Thuin,,17/11/1987,PS,Député
Stéphane,Hazée,M,Namur,,03/05/1975,ECOLO,Député
Antoine,Hermant,M,Soignies-La Louvière,,06/04/1979,PTB,Député
Laurent,Heyvaert,M,Nivelles,,02/02/1984,ECOLO,Député
Nicolas,Janssen,M,Nivelles,,18/11/1974,MR,Député
Pierre -Yves ,Jeholet,M,Herve,Verviers,06/10/1968,MR,Ministre-Président
Pierre-Yves,Jeholet,M,Herve,Verviers,06/10/1968,MR,Ministre-Président
Joëlle,Kapompole,F,Mons,Kolwezi (R.D.C.),23/12/1971,PS,Député
Jean-Pierre,Kerckhofs,M,Bruxelles,,01/10/1963,PTB,Député
Sadik,Köksal,M,Bruxelles,,10/06/1968,DéFI,Député
Pierre,Kompany,M,Bruxelles,,08/09/1947,cdH,Député
Fadila,Laanan,F,Bruxelles,,29/07/1967,PS,Député
Anne,Laffut,F,Arlon-Marche-Bastogne-Neufchâteau-Virton,,02/10/1973,MR,Député
Sabine,Laruelle,F,Namur,,02/06/1965,MR,Député
Dimitri,Legasse,M,Nivelles,Enghien,16/08/1970,PS,Député
Laure,Lekane,F,Liège,,05/11/1989,PTB,Député
Mauro,Lenzini,M,Liège,Liège,25/09/1957,PS,Député
